,Type,bedroom,bathroom,furnishing,Carpet Area (ft²),Maintenance (Monthly),facing,Total floor,state,Rent,Carpet Area (ft²)nan,Maintenance (Monthly)nan
68,Apartments,1,1,Unfurnished,500.0,300.0,others,0, Maharashtra,500000,0,1
69,Apartments,2,2,Semi-Furnished,980.0,1500.0,East,13, Maharashtra,15000,0,0
70,Apartments,3,3,Furnished,2000.0,1000.0,East,2, Maharashtra,28000,0,0
71,Apartments,1,1,Unfurnished,350.0,300.0,others,2, Maharashtra,7500,0,1
72,Apartments,2,2,Semi-Furnished,800.0,935.0,others,1, Maharashtra,22000,0,0
73,Apartments,2,2,Furnished,1250.0,0.0,West,13, Maharashtra,60000,0,0
74,Houses & Villas,1,1,Unfurnished,800.0,8000.0,East,1, Maharashtra,8000,0,0
75,Apartments,1,1,Semi-Furnished,640.0,1500.0,others,6, Maharashtra,15000,0,0
76,Apartments,1,1,Unfurnished,500.0,250.0,East,4, Maharashtra,8000,0,0
77,Houses & Villas,1,1,Unfurnished,800.0,200.0,East,0, Maharashtra,6000,0,0
78,Apartments,1,2,Semi-Furnished,450.0,0.0,North,18, Maharashtra,31000,0,0
79,Apartments,2,2,Semi-Furnished,880.0,0.0,West,19, Maharashtra,41000,0,0
80,Apartments,3,2,Furnished,1000.0,300.0,others,6, Maharashtra,30000,0,0
81,Apartments,1,1,Unfurnished,460.0,0.0,North,7, Maharashtra,8500,0,0
82,Apartments,1,1,Semi-Furnished,510.0,0.0,East,7, Maharashtra,16500,0,0
83,Apartments,2,2,Semi-Furnished,850.0,0.0,East,7, Maharashtra,20000,0,0
84,Apartments,2,2,Semi-Furnished,850.0,0.0,East,22, Maharashtra,35000,0,0
85,Apartments,3,3,Semi-Furnished,1250.0,0.0,North,22, Maharashtra,41000,0,0
86,Apartments,1,1,Furnished,520.0,500.0,North-East,4, Maharashtra,13500,0,0
87,Apartments,1,1,Semi-Furnished,575.0,0.0,East,3, Maharashtra,16000,0,0
88,Apartments,1,1,Unfurnished,465.0,0.0,East,5, Maharashtra,7500,0,0
89,Apartments,1,2,Semi-Furnished,650.0,0.0,North-East,7, Maharashtra,10000,0,0
90,Apartments,1,1,Unfurnished,485.0,0.0,East,4, Maharashtra,14000,0,0
91,Apartments,1,1,Furnished,600.0,500.0,East,3, Maharashtra,13000,0,0
92,Apartments,1,1,Unfurnished,299.0,300.0,others,1, Maharashtra,30000,0,0
93,Apartments,1,1,Unfurnished,269.0,300.0,North-East,23, Maharashtra,14000,0,1
94,Apartments,2,2,Unfurnished,667.0,2000.0,North-West,4, Maharashtra,9500,0,0
95,Builder Floors,1,1,Semi-Furnished,225.0,0.0,East,8, Maharashtra,15000,0,0
96,Apartments,1,2,Unfurnished,600.0,0.0,East,12, Maharashtra,2125,0,0
97,Apartments,2,2,Unfurnished,750.0,300.0,North,4, Maharashtra,4000,0,0
98,Apartments,2,2,Unfurnished,850.0,0.0,East,7, Maharashtra,11500,0,0
99,Apartments,3,3,Semi-Furnished,1000.0,0.0,East,10, Maharashtra,21000,0,0
100,Apartments,2,2,Semi-Furnished,950.0,0.0,West,11, Maharashtra,12000,0,0
101,Apartments,2,2,Furnished,680.0,0.0,East,4, Maharashtra,29000,0,0
102,Apartments,2,2,Furnished,1200.0,100.0,West,6, Maharashtra,12000,0,0
103,Apartments,2,2,Semi-Furnished,800.0,0.0,East,4, Maharashtra,3200,0,0
104,Apartments,2,2,Furnished,750.0,0.0,South-West,5, Maharashtra,35000,0,0
105,Houses & Villas,1,2,Semi-Furnished,900.0,0.0,East,2, Maharashtra,5500,0,0
106,Apartments,2,2,Unfurnished,721.0,0.0,West,13, Maharashtra,11000,0,0
107,Apartments,1,1,Unfurnished,550.0,14000.0,West,4, Maharashtra,14000,0,0
108,Builder Floors,1,1,Unfurnished,275.0,350.0,North,4, Maharashtra,5000,0,0
109,Apartments,2,2,Furnished,2200.0,0.0,East,5, Maharashtra,14000,0,0
110,Apartments,3,3,Semi-Furnished,1400.0,0.0,South-West,13, Maharashtra,42000,0,0
111,Apartments,2,2,Unfurnished,700.0,300.0,others,0, Maharashtra,16000,0,1
112,Apartments,3,3,Semi-Furnished,1200.0,0.0,East,6, Maharashtra,10000,0,0
113,Apartments,2,2,Semi-Furnished,750.0,0.0,East,5, Maharashtra,35000,0,0
114,Apartments,1,2,Unfurnished,600.0,0.0,East,12, Maharashtra,2300,0,0
115,Apartments,2,1,Unfurnished,460.0,0.0,North-East,14, Maharashtra,4250,0,0
116,Apartments,2,2,Furnished,700.0,1200.0,East,4, Maharashtra,12500,0,0
117,Houses & Villas,3,3,Unfurnished,1400.0,300.0,North-East,2, Maharashtra,42000,0,1
118,Apartments,2,2,Furnished,700.0,300.0,West,3, Maharashtra,27000,0,1
119,Apartments,1,1,Semi-Furnished,512.0,0.0,East,3, Maharashtra,12000,0,0
120,Apartments,1,1,Unfurnished,450.0,0.0,North-East,4, Maharashtra,8000,0,0
121,Apartments,1,2,Semi-Furnished,500.0,0.0,North,18, Maharashtra,7000,0,0
122,Apartments,2,2,Unfurnished,7500.0,0.0,East,13, Maharashtra,13000,0,0
123,Apartments,2,2,Semi-Furnished,680.0,300.0,North-West,13, Maharashtra,34000,0,1
124,Apartments,1,2,Unfurnished,375.0,0.0,East,24, Maharashtra,23000,0,0
125,Houses & Villas,1,1,Unfurnished,350.0,0.0,East,3, Maharashtra,8500,0,0
126,Apartments,1,1,Semi-Furnished,450.0,0.0,East,7, Maharashtra,20000,0,0
127,Apartments,1,1,Unfurnished,650.0,0.0,East,11, Maharashtra,10000,0,0
128,Houses & Villas,2,1,Unfurnished,615.0,600.0,East,4, Maharashtra,10500,0,0
129,Apartments,2,1,Unfurnished,800.0,0.0,West,6, Maharashtra,1900,0,0
130,Apartments,2,2,Semi-Furnished,800.0,300.0,others,1, Maharashtra,7500,0,1
131,Builder Floors,1,1,Furnished,100.0,300.0,others,2, Maharashtra,5000,0,1
132,Apartments,2,3,Semi-Furnished,900.0,0.0,North-East,6, Maharashtra,16500,0,0
133,Apartments,2,2,Semi-Furnished,800.0,0.0,East,27, Maharashtra,25000,0,0
134,Apartments,1,2,Unfurnished,450.0,0.0,North,7, Maharashtra,7500,0,0
